epoch,train_l1,train_stft,train_silence_penalty,train_total,val_l1,val_stft,val_silence_penalty,val_total,lr,epoch_seconds
1,0.017711691256543552,0.15988803434151191,0.015941206621075118,0.17759972601025192,0.012438873754769203,0.13699822380177437,0.009875377790341455,0.14943709729179258,2.509259259259259e-05,184.35458993911743
2,0.01607910411052958,0.14841629942810095,0.012462396547198296,0.1644954036231394,0.012461725941618844,0.1365589701360272,0.007666584207571202,0.14902069587861339,5.0092592592592585e-05,202.91285395622253
3,0.015819578233209473,0.14389800628026325,0.012140157163419105,0.15971758451174806,0.012467003113875587,0.13434120123424836,0.010069677110521062,0.14680820499216357,7.50925925925926e-05,193.632474899292
4,0.015739144588372223,0.14281105492953902,0.011973627641176184,0.15855019956275268,0.01256338597065018,0.13227577183035114,0.008729441220977253,0.1448391579812573,0.00010009259259259258,184.9086971282959
5,0.016769929166400323,0.14787150574503122,0.013058702516610976,0.16464143442334953,0.01254304964095354,0.1339103375231066,0.007029307163095162,0.14645338611256692,0.00012509259259259258,188.1045219898224
6,0.015219033645741918,0.13964152247817427,0.012484916170662339,0.15486055631880408,0.011882101677568448,0.1314429854673724,0.01574751638045493,0.1433250853611577,0.00015,186.24525690078735
7,0.017336488968727214,0.14649902529738568,0.01224224942529367,0.16383551386771378,0.012352709553294604,0.1330401750822221,0.014290085940193686,0.14539288465053804,0.00015,195.00211930274963
8,0.015780005729929717,0.14110711459760314,0.011979416969956623,0.156887120505174,0.012543380759926814,0.13162326139788474,0.009687613404586896,0.14416664165835227,0.00015,188.80568099021912
9,0.01622831977524415,0.1431722454726696,0.013254683399228034,0.15940056550833914,0.011850820940678878,0.13158500398839673,0.014844197126231232,0.14343582598432417,0.00015,192.80679512023926
10,0.015873964391303834,0.1388582453959518,0.012459144665842393,0.1547322097475882,0.012494895299295745,0.12952046805331785,0.010008766927996711,0.14201536209833238,0.00015,185.24839901924133
11,0.015216604203710125,0.13559049429992834,0.013320707036527218,0.15080709857521235,0.012440106718831005,0.1302084583909281,0.012025486279819761,0.14264856543271773,0.00015,183.30059695243835
12,0.016061053478538437,0.14019924360844824,0.012707724515348674,0.15626029714390083,0.012228343759723488,0.12975799929230444,0.010660052795438172,0.14198634340878455,0.00015,188.33477926254272
13,0.015680276271369722,0.13780906813012228,0.012857138992425193,0.15348934495338687,0.012067104548951912,0.13030658181636565,0.01405584462701236,0.14237368599541725,0.00015,182.709379196167
14,0.015815160878830486,0.13614381017784277,0.01219238240737468,0.151958971084268,0.01273047608218246,0.12774297306614538,0.009496687618534892,0.1404734495426378,0.00015,185.01788091659546
15,0.01624286375698392,0.1364936287480372,0.012061094049433315,0.15273649259297936,0.012569895352146799,0.1287354798086228,0.011433846219592998,0.14130537548372823,0.00015,185.74982023239136
16,0.016031482191411435,0.13698662936135575,0.012613937404455135,0.15301811173558236,0.01255701207030084,0.1306758027884268,0.011732391934210976,0.1432328152079736,0.00015,184.7837598323822
17,0.0163832559319282,0.13812099554472498,0.012616833734015623,0.15450425156288677,0.01277364305250587,0.12910673142440857,0.00873913386819749,0.14188037392112515,0.00015,188.1838710308075
18,0.01603351587050215,0.13605760698793112,0.012784755486925994,0.15209112265319735,0.012769046389768201,0.12916948105539044,0.012387577951284907,0.1419385282262679,0.00015,182.98607897758484
19,0.0166701626808693,0.13862592183329442,0.012093905086146184,0.1552960844779456,0.012485073286018545,0.12657142526680423,0.009149445295700007,0.1390564974036909,0.00015,186.88825488090515
20,0.01694063913008129,0.13998534625603093,0.012556330408659522,0.1569259853274734,0.012259775173715166,0.12817361109679745,0.011613261097555816,0.140433385727867,0.00015,189.0786256790161
21,0.01578598334454,0.1335265334557604,0.011941810630054938,0.1493125167157915,0.012433851502024598,0.12809680197988788,0.012679577483316778,0.14053065269704787,0.00015,182.73256707191467
22,0.015834645821747404,0.13425955123923444,0.012451384467486707,0.15009419719378153,0.012494550965305778,0.12939755450333318,0.011645699146855247,0.14189210474010436,0.00015,187.80509400367737
23,0.01571506210430353,0.13503434804302675,0.013075699123415958,0.150749410164577,0.01241082579062711,0.12666308291016087,0.010843532788003945,0.13907390844918066,0.00015,187.52464628219604
24,0.01647499646405103,0.13620104864239693,0.012277765388393567,0.15267604509437527,0.012847104947262954,0.12912515863295523,0.012146023868192588,0.14197226349384554,0.00015,181.87710523605347
25,0.015595752899362533,0.13213861930977416,0.01199223896816235,0.1477343718762751,0.012618309307482934,0.13021072264640562,0.01259707580456668,0.1428290318337179,7.5e-05,182.48990392684937
26,0.015624340797808988,0.1312571438788264,0.01224632265339433,0.14688148450244357,0.01252920183938958,0.12631013677004846,0.010913415065583503,0.13883933821512806,7.5e-05,182.25777292251587
27,0.015488706637794773,0.132628071791044,0.013347081977365262,0.14811677872030823,0.012127535308771316,0.1247625091383534,0.010659377599480532,0.13689004593799192,7.5e-05,186.13763999938965
