pair_id,residual_noise_estimate,speech_distortion_estimate,label,snr,stoi,pesq
test_000122,0.024854687973856926,3.9211924076080322,likely over-suppression,-0.10084366130906415,0.13718465611369546,1.0180330276489258
test_000103,0.073848657310009,3.2165660858154297,likely over-suppression,-0.10678684378289155,0.15631382986315137,1.0218372344970703
test_000046,0.06606918573379517,2.9187419414520264,likely over-suppression,-0.06748129612047629,0.26959700243362306,1.0229406356811523
test_000041,0.026340700685977936,3.563549280166626,likely over-suppression,-0.17794840646287602,0.2509725002649882,1.0260982513427734
test_000116,0.040138136595487595,3.6460518836975098,likely over-suppression,-0.08719587525590106,0.13498443805762061,1.0264594554901123
test_000066,0.046012744307518005,3.274412155151367,likely over-suppression,-0.27773849501987036,0.20695013115584104,1.027129054069519
test_000118,0.04404260590672493,3.7120609283447266,likely over-suppression,-0.06397754839254972,0.2222687626929415,1.0288609266281128
test_000098,0.093900665640831,2.3010435104370117,likely over-suppression,-2.669297659395784,0.19406153557785438,1.0293339490890503
test_000063,0.04093640670180321,3.4630379676818848,likely over-suppression,-0.09187755683601784,0.1960589842425804,1.0308579206466675
test_000105,0.05806847661733627,3.9162254333496094,likely over-suppression,-0.31581901132528023,0.16387346761734556,1.031782865524292
test_000266,0.049136318266391754,3.7835261821746826,likely over-suppression,-1.649635932958586,0.04182330478592935,1.0977963209152222
test_000159,0.17398935556411743,2.1743674278259277,likely over-suppression,-0.17371719601653693,0.09297600829919409,1.0697546005249023
test_000001,0.022020820528268814,4.713172912597656,likely over-suppression,-0.034310926269791646,0.13591849532591702,1.06212317943573
test_000026,0.05249236524105072,3.25744891166687,likely over-suppression,-0.12106391586007942,0.13615326767373775,1.0969202518463135
test_000072,0.06913022696971893,3.270415782928467,likely over-suppression,-0.10694192449137402,0.14182456851203787,1.2973787784576416
test_000050,0.043449901044368744,3.5313308238983154,likely over-suppression,-0.06975505295927331,0.14783404879953754,1.0475558042526245
test_000035,0.04919871687889099,3.5199646949768066,likely over-suppression,-0.02125462535266552,0.14981573294782385,1.1443904638290405
