category,n,snr_db,stoi,pesq
gunshot,97,8.666015968528415,0.6515709285531116,1.828314385463282
stationary,98,8.973748663917526,0.6950282562046841,1.7665290358115215
general,104,7.7573377231097655,0.6635061639399974,1.662917693073933
overall,299,8.450816191353143,0.6699658536035805,1.7505343845456738

metric,coreml,onnx_isolated_baseline,delta(coreml-onnx)
snr,8.450816191353143,8.4508,1.6191353143568676e-05
stoi,0.6699658536035805,0.67,-3.4146396419521e-05
pesq,1.7505343845456738,1.7505,3.438454567383786e-05
