epoch,train_l1,train_stft,train_total,val_l1,val_stft,val_total,lr,epoch_seconds
1,0.017997602571310594,0.15734659990371375,0.3326908025024562,0.012814413389987163,0.13520947146800258,0.28323335561060137,5.018450184501845e-05,127.45156979560852
2,0.01781448823093983,0.14331247302878827,0.3044394354208809,0.012678945760032343,0.13267532195295056,0.2780295903644254,0.00010018450184501844,127.5870988368988
3,0.01761559924674375,0.13906514652870677,0.29574589222339687,0.013255661976854167,0.132858490631465,0.2789726437580201,0.00015,134.73621320724487
4,0.01652094239637091,0.1338146185687987,0.2841501799016861,0.013337511347696906,0.13191356377736216,0.2771646363600608,0.00014990889098599896,129.75912284851074
5,0.017652974714872142,0.1355581867931294,0.28876934857606007,0.01295688133236141,0.13130159279511822,0.27556006634427654,0.00014963584063907697,128.79048490524292
6,0.016824807872054103,0.13009809870341607,0.27702100591465995,0.012919335607289067,0.13037700109904812,0.2736733377941193,0.00014918167820416334,127.8436872959137
7,0.01734166405149959,0.13127870360093802,0.27989907183330437,0.012866981194219402,0.12917783447811682,0.27122265172581517,0.00014854778295764613,126.60506916046143
8,0.017865506868562024,0.13064659410242224,0.2791586947177169,0.01319990312725666,0.12984507699166575,0.2728900604190365,0.00014773608001855502,125.95733308792114
9,0.017708674288007716,0.12937249261129827,0.2764536598731671,0.012971908443667475,0.13087263270731894,0.2747171754317899,0.00014674903450203805,126.94490385055542
10,0.017150705309096737,0.12607686029149157,0.2693044257339956,0.013873474233062757,0.1330124083305559,0.27989829043226855,0.0001455896440328881,125.68255805969238
11,0.0169073413916592,0.12775034978435929,0.2724080406871669,0.013503434677277841,0.13039156890684558,0.27428657345233426,0.00014426142964185467,126.89987087249756
12,0.016960617812948362,0.12384599051352356,0.26465259849805234,0.013257207754518717,0.12933058411844314,0.27191837540557307,0.00014276842507238933,127.2493839263916
13,0.01714102490169316,0.12352595412313279,0.26419293303111385,0.013328843776346935,0.13223375752568245,0.2777963590718085,0.00014111516453029963,126.18309998512268
