epoch,train_l1,train_stft,train_total,val_l1,val_stft,val_total,epoch_seconds
1,0.01651538537327214,0.14217342312595502,0.15868880888412798,0.01239730701631596,0.1351909166382205,0.14758822393994178,128.17649221420288
2,0.01594919878542698,0.13587673470322936,0.1518259333838396,0.012549597458283027,0.1339318012037585,0.14648139885356348,126.83891201019287
3,0.015888328759370858,0.13346368270991474,0.14935201181036958,0.012832070644494266,0.13291103681249003,0.14574310748327163,131.45677018165588
4,0.015965145700731456,0.13229742664087743,0.148262572409482,0.012274088811189417,0.13262731786216458,0.14490140710146196,130.77950620651245
5,0.016043450384369856,0.13240418969430168,0.14844764015771367,0.0124319760493123,0.1316214684517153,0.14405344402597797,134.7909939289093
6,0.0158287010299956,0.13030367288257363,0.1461323741892167,0.01285065227233234,0.1319387505852407,0.14478940168215382,136.4362518787384
7,0.015890377047866912,0.1295369210278416,0.14542729855683456,0.0129535689709648,0.1301255640724013,0.14307913364421937,132.98474073410034
8,0.01580888673068605,0.1283601270610556,0.14416901371355867,0.012647550733339402,0.1311996201834371,0.14384717013566725,137.16546487808228
9,0.016033409322299255,0.12743279135810054,0.1434662009269769,0.012738499936888055,0.13070729410936754,0.1434457938997976,137.3202769756317
10,0.015817923829598676,0.12700196949428297,0.14281989328865635,0.012858760430507602,0.13135319876094018,0.14421195849295584,139.50204396247864
11,0.01579832261586321,0.12581944638842585,0.14161776946479543,0.013094988940734296,0.1298438959544705,0.142938885957964,138.19055104255676
12,0.015799859018886385,0.12549377232789993,0.14129363158477187,0.012997115353843378,0.13020070594164632,0.14319782307551754,138.61887907981873
