category,n,snr_db,stoi,pesq
gunshot,97,8.6568812112749,0.6513538649935319,1.8204148565371012
stationary,98,8.96710955382571,0.6948906994807313,1.7661580820472873
general,104,7.753515894583505,0.6634128259333137,1.6636047913477972
overall,299,8.44434738061963,0.6698178841155481,1.7480890683107153

snr_bucket,n,snr_db,stoi,pesq
-5 to 0 dB,83,5.698247050796841,0.5993595523530912,1.4832421411950905
0 to 5 dB,78,7.7271411301010495,0.671404688817805,1.715766429901123
5 to 10 dB,60,10.179266770656321,0.718086631192212,1.8553343931833903
10 to 15 dB,78,10.749132656434236,0.7060761654605232,1.9797395972105174

metric,coreml,coreml_fp32_baseline,delta(coreml-coreml_fp32_baseline)
snr,8.44434738061963,8.4508,-0.006452619380368674
stoi,0.6698178841155481,0.67,-0.00018211588445193883
pesq,1.7480890683107153,1.7505,-0.0024109316892846344
