pair_id,v1_residual_noise_estimate,v1_speech_distortion_estimate,v1_label,v2_residual_noise_estimate,v2_speech_distortion_estimate,v2_label,snr,stoi,pesq
test_000103,0.06263072043657303,3.488466501235962,likely over-suppression,0.0520925410091877,3.6268081665039062,likely over-suppression,-0.10736152225522592,0.11045741423272004,1.0181913375854492
test_000046,0.07901351153850555,3.3328614234924316,likely over-suppression,0.0632624477148056,3.1325299739837646,likely over-suppression,-0.22750870124351344,0.25634871756251104,1.0199257135391235
test_000116,0.044346511363983154,3.546393871307373,likely over-suppression,0.03462605178356171,3.7974109649658203,likely over-suppression,-0.05815916038475062,0.14219492854034596,1.0285922288894653
test_000056,0.07930690795183182,3.5216267108917236,likely over-suppression,0.06177164241671562,3.6659133434295654,likely over-suppression,-0.09894027395480381,0.20255644483523155,1.0287764072418213
test_000217,0.16344447433948517,2.1121509075164795,likely over-suppression,0.1167149767279625,2.1311757564544678,likely over-suppression,-0.35338927345066823,0.23132994827224518,1.0296258926391602
test_000044,0.05177632346749306,2.784515142440796,likely over-suppression,0.04584340378642082,2.7455763816833496,likely over-suppression,-0.5714266883261346,0.24416060531034442,1.032267689704895
test_000225,0.06952214241027832,2.358963966369629,likely over-suppression,0.057901620864868164,2.4307610988616943,likely over-suppression,-0.7804548958446114,0.2681034899716834,1.0345995426177979
test_000063,0.05466771125793457,3.0741868019104004,likely over-suppression,0.041327979415655136,3.453310966491699,likely over-suppression,-0.13802616282973806,0.2507401789923177,1.0353144407272339
test_000118,0.04018280655145645,3.7461907863616943,likely over-suppression,0.03759254887700081,3.9454660415649414,likely over-suppression,-0.03571294804848903,0.2239924515103899,1.036027431488037
test_000268,0.12989041209220886,2.192596673965454,likely over-suppression,0.12030460685491562,2.334099531173706,likely over-suppression,-0.47837737874998465,0.3308263428291878,1.0362839698791504
test_000159,0.18790395557880402,2.283417224884033,likely over-suppression,0.2191898077726364,2.11670184135437,likely over-suppression,-0.30953677385104794,0.07455652292815008,1.0758204460144043
test_000122,0.04484173282980919,3.1924753189086914,likely over-suppression,0.029963035136461258,4.012030124664307,likely over-suppression,-0.20083313759745025,0.10408712919925309,1.097251057624817
test_000266,0.08018097281455994,2.740736961364746,likely over-suppression,0.055249448865652084,2.2245876789093018,likely over-suppression,-1.6227259461584222,0.12514947665664328,1.0729411840438843
test_000075,0.05284871906042099,3.1861464977264404,likely over-suppression,0.046097420156002045,3.30688214302063,likely over-suppression,-0.09303004712405247,0.1447305847529362,1.0743799209594727
test_000274,0.10509904474020004,1.694061040878296,likely over-suppression,0.06268128752708435,2.106144428253174,likely over-suppression,-1.173094572137289,0.1465909566009167,1.083782434463501
test_000026,0.07796598970890045,2.8309590816497803,likely over-suppression,0.04933028295636177,3.1854121685028076,likely over-suppression,-0.118875565609309,0.15074783009054674,1.1114524602890015
test_000098,0.06698458641767502,2.555161237716675,likely over-suppression,0.06016109511256218,2.947313070297241,likely over-suppression,-1.6388605391363333,0.1510069649888748,1.0507586002349854
test_000017,0.03674675524234772,2.0609145164489746,likely over-suppression,0.019855236634612083,2.2807366847991943,likely over-suppression,-0.7215504771252952,0.16516194263722148,1.1470719575881958
