ranked_by,rank,pair_id,clean_path,noisy_path,enhanced_path,snr,stoi,pesq
pesq,1,test_000103,data/processed/test/test_000103_clean.wav,data/processed/test/test_000103_noisy.wav,results/finetuned_v2/test_000103_enhanced.wav,-0.10736152225522592,0.11045741423272004,1.0181913375854492
pesq,2,test_000046,data/processed/test/test_000046_clean.wav,data/processed/test/test_000046_noisy.wav,results/finetuned_v2/test_000046_enhanced.wav,-0.22750870124351344,0.25634871756251104,1.0199257135391235
pesq,3,test_000116,data/processed/test/test_000116_clean.wav,data/processed/test/test_000116_noisy.wav,results/finetuned_v2/test_000116_enhanced.wav,-0.05815916038475062,0.14219492854034596,1.0285922288894653
pesq,4,test_000056,data/processed/test/test_000056_clean.wav,data/processed/test/test_000056_noisy.wav,results/finetuned_v2/test_000056_enhanced.wav,-0.09894027395480381,0.20255644483523155,1.0287764072418213
pesq,5,test_000217,data/processed/test/test_000217_clean.wav,data/processed/test/test_000217_noisy.wav,results/finetuned_v2/test_000217_enhanced.wav,-0.35338927345066823,0.23132994827224518,1.0296258926391602
pesq,6,test_000044,data/processed/test/test_000044_clean.wav,data/processed/test/test_000044_noisy.wav,results/finetuned_v2/test_000044_enhanced.wav,-0.5714266883261346,0.24416060531034442,1.032267689704895
pesq,7,test_000225,data/processed/test/test_000225_clean.wav,data/processed/test/test_000225_noisy.wav,results/finetuned_v2/test_000225_enhanced.wav,-0.7804548958446114,0.2681034899716834,1.0345995426177979
pesq,8,test_000063,data/processed/test/test_000063_clean.wav,data/processed/test/test_000063_noisy.wav,results/finetuned_v2/test_000063_enhanced.wav,-0.13802616282973806,0.2507401789923177,1.0353144407272339
pesq,9,test_000118,data/processed/test/test_000118_clean.wav,data/processed/test/test_000118_noisy.wav,results/finetuned_v2/test_000118_enhanced.wav,-0.03571294804848903,0.2239924515103899,1.036027431488037
pesq,10,test_000268,data/processed/test/test_000268_clean.wav,data/processed/test/test_000268_noisy.wav,results/finetuned_v2/test_000268_enhanced.wav,-0.47837737874998465,0.3308263428291878,1.0362839698791504
stoi,1,test_000159,data/processed/test/test_000159_clean.wav,data/processed/test/test_000159_noisy.wav,results/finetuned_v2/test_000159_enhanced.wav,-0.30953677385104794,0.07455652292815008,1.0758204460144043
stoi,2,test_000122,data/processed/test/test_000122_clean.wav,data/processed/test/test_000122_noisy.wav,results/finetuned_v2/test_000122_enhanced.wav,-0.20083313759745025,0.10408712919925309,1.097251057624817
stoi,3,test_000103,data/processed/test/test_000103_clean.wav,data/processed/test/test_000103_noisy.wav,results/finetuned_v2/test_000103_enhanced.wav,-0.10736152225522592,0.11045741423272004,1.0181913375854492
stoi,4,test_000266,data/processed/test/test_000266_clean.wav,data/processed/test/test_000266_noisy.wav,results/finetuned_v2/test_000266_enhanced.wav,-1.6227259461584222,0.12514947665664328,1.0729411840438843
stoi,5,test_000116,data/processed/test/test_000116_clean.wav,data/processed/test/test_000116_noisy.wav,results/finetuned_v2/test_000116_enhanced.wav,-0.05815916038475062,0.14219492854034596,1.0285922288894653
stoi,6,test_000075,data/processed/test/test_000075_clean.wav,data/processed/test/test_000075_noisy.wav,results/finetuned_v2/test_000075_enhanced.wav,-0.09303004712405247,0.1447305847529362,1.0743799209594727
stoi,7,test_000274,data/processed/test/test_000274_clean.wav,data/processed/test/test_000274_noisy.wav,results/finetuned_v2/test_000274_enhanced.wav,-1.173094572137289,0.1465909566009167,1.083782434463501
stoi,8,test_000026,data/processed/test/test_000026_clean.wav,data/processed/test/test_000026_noisy.wav,results/finetuned_v2/test_000026_enhanced.wav,-0.118875565609309,0.15074783009054674,1.1114524602890015
stoi,9,test_000098,data/processed/test/test_000098_clean.wav,data/processed/test/test_000098_noisy.wav,results/finetuned_v2/test_000098_enhanced.wav,-1.6388605391363333,0.1510069649888748,1.0507586002349854
stoi,10,test_000017,data/processed/test/test_000017_clean.wav,data/processed/test/test_000017_noisy.wav,results/finetuned_v2/test_000017_enhanced.wav,-0.7215504771252952,0.16516194263722148,1.1470719575881958
