epoch,curriculum_progress,curriculum_snr_weight,curriculum_category_weight,train_l1,train_stft,train_silence_penalty,train_total,val_l1,val_stft,val_silence_penalty,val_total,lr,epoch_seconds
1,0.0,1.0,1.0,0.017248496399484437,0.14969156396564962,0.013464778729601045,0.16761329946042866,0.012840013812115837,0.135998772637498,0.0066234530099938,0.1491699578060258,3.022222222222222e-05,128.20090675354004
2,0.025,1.05,1.025,0.016413549942435265,0.13825443818670358,0.008453818828527337,0.15509067888189507,0.012790890001211195,0.13429994448538748,0.005959917682371123,0.14738883054064167,6.033333333333333e-05,127.1924307346344
3,0.05,1.1,1.05,0.016645736172726563,0.13724989270812032,0.008929082715705148,0.15434208259371374,0.012819348276788068,0.13237079509323643,0.005745510889204114,0.14547741845730813,9.044444444444443e-05,129.52572226524353
4,0.075,1.15,1.075,0.016817576300036642,0.13373280865074963,0.008829333772195497,0.15099185109963276,0.012761054104269151,0.1336364217342869,0.008781666003708397,0.14683656033969694,0.00012055555555555554,127.19473195075989
5,0.1,1.2,1.1,0.016879746294322654,0.13473872916010032,0.00930881795105679,0.15208391666522325,0.012624296081823206,0.13182490246911202,0.008687214948065135,0.144883559596154,0.0001499999887491261,126.89190983772278
6,0.125,1.25,1.125,0.01597086831281216,0.1307809762244295,0.009582447765285074,0.14723096738442285,0.012565385212280577,0.13124065185266157,0.010642227741036256,0.1443381501782325,0.00014996572140063354,127.16278791427612
7,0.15,1.3,1.15,0.015959992225546515,0.12725076302061222,0.010016405586380086,0.14371157535162798,0.01292107097293821,0.13057818708400573,0.007303551928470692,0.14386443469312885,0.00014986539584557786,126.66619539260864
8,0.175,1.35,1.175,0.016106660424549533,0.1267345446364686,0.009855422745475965,0.14333397598174225,0.012931124605764184,0.13073769283871498,0.007950699272295159,0.14406635155600886,0.0001496991226025367,126.41120076179504
9,0.2,1.4,1.2,0.01659585609413491,0.12802928923955703,0.010078173136764733,0.14512905412494476,0.012608821702850681,0.13088928355324653,0.011024853030610229,0.14404934861006274,0.00014946708483802557,126.2741060256958
10,0.225,1.45,1.225,0.016422220131183024,0.12562885608290394,0.00976620793318534,0.1425393873695078,0.012803384106636288,0.13068246096372604,0.008948443442462914,0.14393326832402137,0.0001491695381647215,126.18854594230652
11,0.25,1.5,1.25,0.016158853103389544,0.12539265579733022,0.010284856513376276,0.14206575184400672,0.012601416727017251,0.12889921965618287,0.01028910257586939,0.14201509147401778,0.00014880681035988033,126.093994140625
12,0.275,1.55,1.275,0.015855027833520486,0.12255914454310582,0.010196872142305068,0.13892401603645063,0.01287272931151693,0.1282081915245902,0.006334635823394262,0.14139765332783422,0.00014837930100425757,126.12207794189453
13,0.3,1.6,1.3,0.015738523968175825,0.12156461966928521,0.010665068012830625,0.1378363970515913,0.013047961108837157,0.13003644010713022,0.008646181934783536,0.14351671032847896,0.00014788748104193025,126.11815905570984
14,0.325,1.65,1.325,0.016820335492656678,0.12304745149898354,0.010876508507829476,0.14041161237497612,0.013047930487852183,0.12857746837600584,0.007524371850341859,0.14200161769986153,0.00014733189226150538,126.11074209213257
15,0.35,1.7,1.35,0.015149887464768717,0.11793158663869784,0.010465472531109719,0.13360474772778824,0.012712894882556171,0.1290610680176366,0.009084158272842967,0.14222816942680266,0.0001467131466992857,126.0882351398468
16,0.375,1.75,1.375,0.01588839289948784,0.11949270852322508,0.010703174082899116,0.1359162604456898,0.013916234540257363,0.1302712137901014,0.005280811557426087,0.14445149009266206,0.00014603192596505108,126.05344796180725
17,0.4,1.8,1.4,0.01690006654750817,0.12190603862114498,0.01100730156092956,0.1393564706771356,0.013397550161537384,0.13080513970025123,0.006873647671102757,0.14454637047263882,0.0001452889804911973,126.0863606929779
18,0.425,1.85,1.425,0.0170013385745817,0.12269261066983987,0.011397198860695056,0.14026380932419064,0.013968254691140065,0.13317523271806778,0.007107478646503296,0.1474988613157503,0.00014448512870606024,126.06247806549072
19,0.45,1.9,1.45,0.01617853396926144,0.11890063948956803,0.011002371354007962,0.13562929140905614,0.013140318464607961,0.13169259926484478,0.010068197623871627,0.14533632741339744,0.00014362125613233572,126.20610308647156
20,0.475,1.95,1.475,0.01638896120935541,0.11911820612050511,0.011228524298816095,0.13606859333950655,0.01309784413916209,0.13055025041103363,0.008328598148504934,0.14406452544273868,0.00014269831441158801,127.08354997634888
21,0.5,2.0,1.5,0.016681967221537253,0.11934537419918718,0.011857416802962272,0.13662021196141455,0.012936069693927082,0.1301662870232136,0.00916102442387191,0.14356040678197338,0.00014171732025592215,140.02634692192078
22,0.525,2.05,1.525,0.016087782061469786,0.11512523380922655,0.011466804766388287,0.13178635615429315,0.013375630692368554,0.1314544002375295,0.008339061852424376,0.14524698353582813,0.00014067935432797443,459.40329694747925
23,0.55,2.1,1.55,0.01605560061112871,0.11520586740156821,0.011896565427653135,0.13185629630770632,0.013056911118779211,0.12960600492454344,0.009600041473599812,0.14314291794453898,0.0001395855600504548,260.20598888397217
24,0.575,2.15,1.575,0.01635091559105721,0.11517797891614182,0.011621951675420537,0.13210999182119582,0.013403946178920207,0.13125319370338995,0.007517467100232381,0.14503301367644342,0.0001384371423465534,131.54723525047302
25,0.6,2.2,1.6,0.0163423668015817,0.11394550977102945,0.011507335622413462,0.13086324362462298,0.013131257112798911,0.12939359151547955,0.008617061256025467,0.14295570011581143,0.00013723536631259734,131.235848903656
