category,n,snr_db,stoi,pesq
gunshot,97,8.666013705827622,0.6515709090945548,1.8283143571971618
stationary,98,8.973748168767287,0.6950282721029002,1.7665134826484992
general,104,7.757337794192192,0.6635061709619,1.6629207867842455
overall,299,8.450815319733985,0.6699658549441259,1.7505303537566526

metric,onnx_overall,pytorch_v5_overall,delta_onnx_minus_pytorch
snr,8.450815319733985,8.75,-0.2991846802660145
stoi,0.6699658549441259,0.674,-0.004034145055874183
pesq,1.7505303537566526,1.786,-0.035469646243347475
