ranked_by,rank,pair_id,clean_path,noisy_path,enhanced_path,snr,stoi,pesq
pesq,1,test_000118,data/processed/test/test_000118_clean.wav,data/processed/test/test_000118_noisy.wav,results/finetuned_v5/test_000118_enhanced.wav,-0.03931383088341574,0.22571125319149923,1.0226221084594727
pesq,2,test_000044,data/processed/test/test_000044_clean.wav,data/processed/test/test_000044_noisy.wav,results/finetuned_v5/test_000044_enhanced.wav,-0.1673101857056353,0.24613299622375756,1.0235944986343384
pesq,3,test_000103,data/processed/test/test_000103_clean.wav,data/processed/test/test_000103_noisy.wav,results/finetuned_v5/test_000103_enhanced.wav,-0.0437902318830954,0.1836887423884473,1.0260566473007202
pesq,4,test_000041,data/processed/test/test_000041_clean.wav,data/processed/test/test_000041_noisy.wav,results/finetuned_v5/test_000041_enhanced.wav,-0.1278656325143027,0.23603939041744007,1.0271090269088745
pesq,5,test_000098,data/processed/test/test_000098_clean.wav,data/processed/test/test_000098_noisy.wav,results/finetuned_v5/test_000098_enhanced.wav,-0.16441702245881734,0.11336108049883388,1.027525544166565
pesq,6,test_000063,data/processed/test/test_000063_clean.wav,data/processed/test/test_000063_noisy.wav,results/finetuned_v5/test_000063_enhanced.wav,-0.0928170184062334,0.27347060365233955,1.027610182762146
pesq,7,test_000116,data/processed/test/test_000116_clean.wav,data/processed/test/test_000116_noisy.wav,results/finetuned_v5/test_000116_enhanced.wav,-0.05310291405958385,0.1696608648419483,1.0283435583114624
pesq,8,test_000056,data/processed/test/test_000056_clean.wav,data/processed/test/test_000056_noisy.wav,results/finetuned_v5/test_000056_enhanced.wav,-0.07531526701789869,0.25638307785836845,1.0304075479507446
pesq,9,test_000217,data/processed/test/test_000217_clean.wav,data/processed/test/test_000217_noisy.wav,results/finetuned_v5/test_000217_enhanced.wav,-0.16374369342188372,0.276913330553203,1.0306005477905273
pesq,10,test_000040,data/processed/test/test_000040_clean.wav,data/processed/test/test_000040_noisy.wav,results/finetuned_v5/test_000040_enhanced.wav,-0.8239824249442574,0.29719745342982673,1.0321869850158691
stoi,1,test_000266,data/processed/test/test_000266_clean.wav,data/processed/test/test_000266_noisy.wav,results/finetuned_v5/test_000266_enhanced.wav,-0.336926212676876,0.08961103407065404,1.0684871673583984
stoi,2,test_000098,data/processed/test/test_000098_clean.wav,data/processed/test/test_000098_noisy.wav,results/finetuned_v5/test_000098_enhanced.wav,-0.16441702245881734,0.11336108049883388,1.027525544166565
stoi,3,test_000122,data/processed/test/test_000122_clean.wav,data/processed/test/test_000122_noisy.wav,results/finetuned_v5/test_000122_enhanced.wav,-0.056131896723326795,0.13469960303665138,1.0332541465759277
stoi,4,test_000159,data/processed/test/test_000159_clean.wav,data/processed/test/test_000159_noisy.wav,results/finetuned_v5/test_000159_enhanced.wav,-0.18198179212459126,0.14229259635713462,1.0587985515594482
stoi,5,test_000000,data/processed/test/test_000000_clean.wav,data/processed/test/test_000000_noisy.wav,results/finetuned_v5/test_000000_enhanced.wav,-1.226734576920577,0.15239478569162432,1.9269440174102783
stoi,6,test_000274,data/processed/test/test_000274_clean.wav,data/processed/test/test_000274_noisy.wav,results/finetuned_v5/test_000274_enhanced.wav,-0.9501184550182675,0.1564894076661636,1.0738648176193237
stoi,7,test_000026,data/processed/test/test_000026_clean.wav,data/processed/test/test_000026_noisy.wav,results/finetuned_v5/test_000026_enhanced.wav,-0.0805556191087109,0.15776320074917813,1.0869516134262085
stoi,8,test_000185,data/processed/test/test_000185_clean.wav,data/processed/test/test_000185_noisy.wav,results/finetuned_v5/test_000185_enhanced.wav,-1.4141472909769117,0.15916193605609197,1.1801366806030273
stoi,9,test_000075,data/processed/test/test_000075_clean.wav,data/processed/test/test_000075_noisy.wav,results/finetuned_v5/test_000075_enhanced.wav,-0.10128571801870417,0.16095111617184907,1.0434861183166504
stoi,10,test_000001,data/processed/test/test_000001_clean.wav,data/processed/test/test_000001_noisy.wav,results/finetuned_v5/test_000001_enhanced.wav,-0.05680148439058234,0.16224745164471274,1.066404938697815
