category,n,snr_db,stoi,pesq
gunshot,97,8.407497171809645,0.6501315479985182,1.7388086613920546
stationary,98,8.72513591839259,0.6945294339491477,1.7134436733868657
general,104,7.522047549505379,0.6634571188506044,1.6170262625584235
overall,299,8.20362371510558,0.6693183446265405,1.6881359580368502

metric,coreml,coreml_fp32_baseline,delta(coreml-coreml_fp32_baseline)
snr,8.20362371510558,8.4508,-0.24717628489441879
stoi,0.6693183446265405,0.67,-0.0006816553734595443
pesq,1.6881359580368502,1.7505,-0.06236404196314971
