column,category,n,snr_db,stoi,pesq
noisy,gunshot,97,-1.088554247384409,0.5657426385934665,1.2955525425291552
noisy,stationary,98,2.0061466641253585,0.6311586134300801,1.3682944446193928
noisy,general,104,0.4710920306697384,0.596339321014998,1.2604701152214637
noisy,overall,299,0.4682481012630442,0.5978256503186418,1.3071917865587317
baseline,gunshot,97,-0.11915942383909728,0.5614830664534014,1.2971809770643097
baseline,stationary,98,3.221682910752232,0.6255820107075494,1.3089494182139028
baseline,general,104,2.364137450313427,0.5877116021491127,1.2705100705990424
baseline,overall,299,1.839587812621815,0.5916150539091221,1.2917613548578626
finetuned,gunshot,97,8.806525132333658,0.6387695648401109,1.8589597915865712
finetuned,stationary,98,9.40848383244042,0.6892871456754841,1.8519644773736292
finetuned,general,104,7.849333444424679,0.6579827966617994,1.6621803767406023
finetuned,overall,299,8.67088639343041,0.6620100298278104,1.7882219991556378
finetuned_v2,gunshot,97,8.736007677763194,0.642835617096141,1.8635578266124135
finetuned_v2,stationary,98,9.274986092545324,0.6936355830251543,1.8237569076674325
finetuned_v2,general,104,7.732686079104273,0.6602813641066434,1.6471892148256302
finetuned_v2,overall,299,8.563681384746875,0.6655538590698383,1.7752540617882209
finetuned_v4,gunshot,97,8.768191607786463,0.6416633484795331,1.8737746870394834
finetuned_v4,stationary,98,9.338756861419492,0.691418073829235,1.8178244889998922
finetuned_v4,general,104,7.705471687841975,0.6564798609416221,1.6333115696907043
finetuned_v4,overall,299,8.585557906053387,0.6631244868752791,1.7717971498750922
finetuned_v5,gunshot,97,8.900847067327321,0.6543628639379209,1.8702038772327383
finetuned_v5,stationary,98,9.42991007980549,0.7017355006192677,1.8328676540024427
finetuned_v5,general,104,7.968820731154671,0.667344537448111,1.6642346118505185
finetuned_v5,overall,299,8.750069262179847,0.6744050460109368,1.7863251030644445
