column,snr_bucket,n,snr_db,stoi,pesq
noisy,-5 to 0 dB,83,-5.285763217847386,0.5139562488120113,1.137066315455609
noisy,0 to 5 dB,78,-1.1989626534680333,0.5916905481059291,1.2795420120923946
noisy,5 to 10 dB,60,3.4666667762677688,0.6512411535135091,1.3456716100374857
noisy,10 to 15 dB,78,5.95184115068492,0.6521175491128709,1.4862726468306322
baseline,-5 to 0 dB,83,-3.0187539758915247,0.5078460542258137,1.1325453017131393
baseline,0 to 5 dB,78,0.3374833320148207,0.5855914068881128,1.2482794171724565
baseline,5 to 10 dB,60,4.6407607111472,0.6413696970220785,1.3249893506368002
baseline,10 to 15 dB,78,6.356717864191426,0.6485047058908647,1.4791055061878302
finetuned,-5 to 0 dB,83,5.928860974362979,0.5906548078605417,1.4780833319009068
finetuned,0 to 5 dB,78,7.766852444166304,0.6629170875594144,1.7202232816280463
finetuned,5 to 10 dB,60,10.559944763111753,0.7138032774463292,1.9780828098456065
finetuned,10 to 15 dB,78,11.039594799126775,0.6971912870471321,2.0401932902825184
finetuned_v2,-5 to 0 dB,83,5.911066121188942,0.5954295283380533,1.4936837288270515
finetuned_v2,0 to 5 dB,78,7.659785413431427,0.6663091410836879,1.7095307753636286
finetuned_v2,5 to 10 dB,60,10.51116459459959,0.7157379936659141,1.9638018707434337
finetuned_v2,10 to 15 dB,78,10.792168052012913,0.700814876735138,1.9955602853726118
finetuned_v4,-5 to 0 dB,83,5.823364008219263,0.5910803228919103,1.4632233697247792
finetuned_v4,0 to 5 dB,78,7.686096449652161,0.665557779274838,1.7214802549435542
finetuned_v4,5 to 10 dB,60,10.511568753451344,0.7143130133685275,1.960059541463852
finetuned_v4,10 to 15 dB,78,10.94273016599762,0.6979777844888577,2.0056509711803536
finetuned_v5,-5 to 0 dB,83,6.146787304850967,0.6057521844394395,1.4949113906147968
finetuned_v5,0 to 5 dB,78,7.82278352749832,0.6729226289025491,1.7449023708319054
finetuned_v5,5 to 10 dB,60,10.570738423214522,0.7249876354118047,1.9404719114303588
finetuned_v5,10 to 15 dB,78,11.046999263479533,0.7100314649960195,2.019267445955521
